#E. coli strain K12
%4639221
!strand	slot	start	stop	opacity	thickness	type	label	mouseover
forward	1	3710721	3711284	1	1	gene	tag	tag 3710721-3711284
forward	1	3882705	3884351	1	1	gene	yidC	yidC 3882705-3884351
forward	1	1402765	1403673	1	1	gene	abgR	abgR 1402765-1403673
forward	1	208621	209580	1	1	gene	accA	accA 208621-209580
forward	1	3403554	3404903	1	1	gene	accC	accC 3403554-3404903
forward	1	4214688	4215992	1	1	gene	aceA	aceA 4214688-4215992
forward	1	4216175	4217911	1	1	gene	aceK	aceK 4216175-4217911
forward	1	2411490	2412692	1	1	gene	ackA	ackA 2411490-2412692
forward	1	1333855	1336530	1	1	gene	acnA	acnA 1333855-1336530
forward	1	131615	134212	1	1	gene	acnB	acnB 131615-134212
forward	1	1150838	1151074	1	1	gene	acpP	acpP 1150838-1151074
forward	1	2585615	2588728	1	1	gene	acrD	acrD 2585615-2588728
forward	1	3411501	3412658	1	1	gene	acrE	acrE 3411501-3412658
forward	1	3412670	3415774	1	1	gene	acrF	acrF 3412670-3415774
forward	1	484985	485632	1	1	gene	acrR	acrR 484985-485632
forward	1	1029287	1029565	1	1	gene	yccX	yccX 1029287-1029565
forward	1	1700257	1701258	1	1	gene	add	add 1700257-1701258
forward	1	3841591	3843357	1	1	gene	yicP	yicP 3841591-3843357
forward	1	2069405	2072680	1	1	gene	flu	flu 2069405-2072680
forward	1	3278763	3279266	1	1	gene	agaA	agaA 3278763-3279266
forward	1	3283911	3284666	1	1	gene	agaI	agaI 3283911-3284666
forward	1	4339489	4340844	1	1	gene	melA	melA 4339489-4340844
forward	1	3279617	3280771	1	1	gene	agaS	agaS 3279617-3280771
forward	1	3280784	3281644	1	1	gene	agaY	agaY 3280784-3281644
forward	1	3276555	3277835	1	1	gene	agaZ	agaZ 3276555-3277835
forward	1	1064808	1066049	1	1	gene	agp	agp 1064808-1066049
forward	1	638168	638731	1	1	gene	ahpC	ahpC 638168-638731
forward	1	638946	640541	1	1	gene	ahpF	ahpF 638946-640541
forward	1	4411838	4413478	1	1	gene	aidB	aidB 4411838-4413478
forward	1	337	2799	1	1	gene	thrA	thrA 337-2799
forward	1	4127415	4129847	1	1	gene	metL	metL 4127415-4129847
forward	1	1486256	1487695	1	1	gene	aldA	aldA 1486256-1487695
forward	1	531675	532157	1	1	gene	allA	allA 531675-532157
forward	1	536998	538311	1	1	gene	ybbW	ybbW 536998-538311
forward	1	532235	533050	1	1	gene	allR	allR 532235-533050
forward	1	538371	539732	1	1	gene	allB	allB 538371-539732
forward	1	2756665	2756877	1	1	gene	alpA	alpA 2756665-2756877
forward	1	4263361	4264440	1	1	gene	alr	alr 4263361-4264440
forward	1	1238102	1239172	1	1	gene	dadX	dadX 1238102-1239172
forward	1	2550372	2551241	1	1	gene	amiA	amiA 2550372-2551241
forward	1	4393643	4394980	1	1	gene	amiB	amiB 4393643-4394980
forward	1	2053083	2054537	1	1	gene	amn	amn 2053083-2054537
forward	1	118733	119284	1	1	gene	ampD	ampD 118733-119284
forward	1	119281	120135	1	1	gene	ampE	ampE 119281-120135
forward	1	989845	992457	1	1	gene	pepN	pepN 989845-992457
forward	1	472190	473476	1	1	gene	amtB	amtB 472190-473476
forward	1	3735126	3737156	1	1	gene	malS	malS 3735126-3737156
forward	1	2004179	2005666	1	1	gene	amyA	amyA 2004179-2005666
forward	1	4266993	4267706	1	1	gene	yjbP	yjbP 4266993-4267706
forward	1	1038519	1039655	1	1	gene	appB	appB 1038519-1039655
forward	1	1036963	1038507	1	1	gene	appC	appC 1036963-1038507
forward	1	582904	583653	1	1	gene	appY	appY 582904-583653
forward	1	490636	491187	1	1	gene	apt	apt 490636-491187
forward	1	70387	71265	1	1	gene	araC	araC 70387-71265
forward	1	549662	550555	1	1	gene	arcC	arcC 549662-550555
forward	1	1677581	1678963	1	1	gene	arcD	arcD 1677581-1678963
forward	1	3009482	3010414	1	1	gene	yqeA	yqeA 3009482-3010414
forward	1	339389	340339	1	1	gene	yahI	yahI 339389-340339
forward	1	2947264	2948595	1	1	gene	argA	argA 2947264-2948595
forward	1	4153592	4154368	1	1	gene	argB	argB 4153592-4154368
forward	1	4152580	4153584	1	1	gene	argC	argC 4152580-4153584
forward	1	3061007	3062002	1	1	gene	ygfD	ygfD 3061007-3062002
forward	1	3382338	3382808	1	1	gene	argR	argR 3382338-3382808
forward	1	4154429	4155802	1	1	gene	argH	argH 4154429-4155802
forward	1	958035	959318	1	1	gene	aroA	aroA 958035-959318
forward	1	1772710	1773468	1	1	gene	aroD	aroD 1772710-1773468
forward	1	784856	785908	1	1	gene	aroG	aroG 784856-785908
forward	1	1786459	1787505	1	1	gene	aroH	aroH 1786459-1787505
forward	1	405629	406153	1	1	gene	aroL	aroL 405629-406153
forward	1	406652	407329	1	1	gene	aroM	aroM 406652-407329
forward	1	1801118	1803017	1	1	gene	arpB	arpB 1801118-1803017
forward	1	3646544	3647854	1	1	gene	arsB	arsB 3646544-3647854
forward	1	3647867	3648292	1	1	gene	arsC	arsC 3647867-3648292
forward	1	3646158	3646511	1	1	gene	arsR	arsR 3646158-3646511
forward	1	2839013	2840437	1	1	gene	ascB	ascB 2839013-2840437
forward	1	1848884	1849900	1	1	gene	ansA	ansA 1848884-1849900
forward	1	865791	866756	1	1	gene	ybiK	ybiK 865791-866756
forward	1	3980571	3981806	1	1	gene	aslB	aslB 3980571-3981806
forward	1	3924783	3925775	1	1	gene	asnA	asnA 3924783-3925775
forward	1	1669373	1669708	1	1	gene	asr	asr 1669373-1669708
forward	1	3316278	3317621	1	1	gene	argG	argG 3316278-3317621
forward	1	1654208	1654768	1	1	gene	speG	speG 1654208-1654768
forward	1	4465199	4467895	1	1	gene	mgtA	mgtA 4465199-4467895
forward	1	2322129	2322779	1	1	gene	atoA	atoA 2322129-2322779
forward	1	2324129	2325313	1	1	gene	atoB	atoB 2324129-2325313
forward	1	2319886	2321271	1	1	gene	atoC	atoC 2319886-2321271
forward	1	2321467	2322129	1	1	gene	atoD	atoD 2321467-2322129
forward	1	2322776	2324098	1	1	gene	atoB	atoB 2322776-2324098
forward	1	2318063	2319889	1	1	gene	atoS	atoS 2318063-2319889
forward	1	3604082	3606280	1	1	gene	zntA	zntA 3604082-3606280
forward	1	3737334	3738587	1	1	gene	avtA	avtA 3737334-3738587
forward	1	2162298	2163020	1	1	gene	baeR	baeR 2162298-2163020
forward	1	2160898	2162301	1	1	gene	baeS	baeS 2160898-2162301
forward	1	2913079	2915835	1	1	gene	barA	barA 2913079-2915835
forward	1	3403073	3403543	1	1	gene	accB	accB 3403073-3403543
forward	1	2598498	2598968	1	1	gene	bcp	bcp 2598498-2598968
forward	1	328687	330720	1	1	gene	betT	betT 328687-330720
forward	1	3220238	3223366	1	1	gene	ebgA	ebgA 3220238-3223366
forward	1	3041682	3043121	1	1	gene	bglA	bglA 3041682-3043121
forward	1	4601729	4602406	1	1	gene	yjjR	yjjR 4601729-4602406
forward	1	808567	809607	1	1	gene	bioB	bioB 808567-809607
forward	1	810745	811500	1	1	gene	bioC	bioC 810745-811500
forward	1	811493	812170	1	1	gene	bioD	bioD 811493-812170
forward	1	809604	810758	1	1	gene	bioF	bioF 809604-810758
forward	1	4170661	4171626	1	1	gene	birA	birA 4170661-4171626
forward	1	1702575	1702697	1	1	gene	blr	blr 1702575-1702697
forward	1	453663	454013	1	1	gene	bolA	bolA 453663-454013
forward	1	418815	420134	1	1	gene	brnQ	brnQ 418815-420134
forward	1	4161218	4163062	1	1	gene	btuB	btuB 4161218-4163062
forward	1	1488890	1489456	1	1	gene	cybB	cybB 1488890-1489456
forward	1	4457127	4457429	1	1	gene	cybC	cybC 4457127-4457429
forward	1	2040360	2040920	1	1	gene	yodB	yodB 2040360-2040920
forward	1	34195	34695	1	1	gene	caiF	caiF 34195-34695
forward	1	29651	30799	1	1	gene	carA	carA 29651-30799
forward	1	30817	34038	1	1	gene	carB	carB 30817-34038
forward	1	4131415	4133595	1	1	gene	katG	katG 4131415-4133595
forward	1	1811891	1814152	1	1	gene	katE	katE 1811891-1814152
forward	1	3199532	3200770	1	1	gene	cca	cca 3199532-3200770
forward	1	182445	183620	1	1	gene	sdaR	sdaR 182445-183620
forward	1	2229864	2230748	1	1	gene	cdd	cdd 2229864-2230748
forward	1	4107510	4108265	1	1	gene	cdh	cdh 4107510-4108265
forward	1	195785	196534	1	1	gene	cdsA	cdsA 195785-196534
forward	1	1739437	1740585	1	1	gene	cfa	cfa 1739437-1740585
forward	1	4368266	4368559	1	1	gene	mopB	mopB 4368266-4368559
forward	1	4368603	4370249	1	1	gene	mopA	mopA 4368603-4370249
forward	1	1271342	1271572	1	1	gene	chaB	chaB 1271342-1271572
forward	1	1271709	1272425	1	1	gene	chaC	chaC 1271709-1272425
forward	1	4446269	4446619	1	1	gene	chpB	chpB 4446269-4446619
forward	1	4446018	4446275	1	1	gene	chpS	chpS 4446018-4446275
forward	1	349236	350405	1	1	gene	prpC	prpC 349236-350405
forward	1	922487	924763	1	1	gene	clpA	clpA 922487-924763
forward	1	455901	456524	1	1	gene	clpP	clpP 455901-456524
forward	1	456650	457924	1	1	gene	clpX	clpX 456650-457924
forward	1	3807452	3807931	1	1	gene	kdtB	kdtB 3807452-3807931
forward	1	1178743	1179582	1	1	gene	cobB	cobB 1178743-1179582
forward	1	355395	356678	1	1	gene	codA	codA 355395-356678
forward	1	354146	355405	1	1	gene	codB	codB 354146-355405
forward	1	466624	467454	1	1	gene	cof	cof 466624-467454
forward	1	3999038	3999988	1	1	gene	corA	corA 3999038-3999988
forward	1	655780	656340	1	1	gene	ybeG	ybeG 655780-656340
forward	1	4633090	4633563	1	1	gene	creA	creA 4633090-4633563
forward	1	4633576	4634265	1	1	gene	creB	creB 4633576-4634265
forward	1	4634265	4635689	1	1	gene	creC	creC 4634265-4635689
forward	1	4635747	4637099	1	1	gene	creD	creD 4635747-4637099
forward	1	257829	258230	1	1	gene	crl	crl 257829-258230
forward	1	3483757	3484389	1	1	gene	crp	crp 3483757-3484389
forward	1	2941359	2942564	1	1	gene	csdA	csdA 2941359-2942564
forward	1	1103670	1104125	1	1	gene	csgA	csgA 1103670-1104125
forward	1	1103174	1103629	1	1	gene	csgB	csgB 1103174-1103629
forward	1	1104184	1104516	1	1	gene	csgC	csgC 1104184-1104516
forward	1	2663434	2664735	1	1	gene	csiE	csiE 2663434-2664735
forward	1	3717678	3717890	1	1	gene	cspA	cspA 3717678-3717890
forward	1	656515	656724	1	1	gene	cspE	cspE 656515-656724
forward	1	1639879	1640091	1	1	gene	cspF	cspF 1639879-1640091
forward	1	1050684	1050896	1	1	gene	cspG	cspG 1050684-1050896
forward	1	629117	631222	1	1	gene	cstA	cstA 629117-631222
forward	1	513217	513624	1	1	gene	cueR	cueR 513217-513624
forward	1	597937	601080	1	1	gene	cusA	cusA 597937-601080
forward	1	596702	597925	1	1	gene	cusB	cusB 596702-597925
forward	1	594823	596196	1	1	gene	cusC	cusC 594823-596196
forward	1	596354	596686	1	1	gene	cusX	cusX 596354-596686
forward	1	215269	215979	1	1	gene	cutF	cutF 215269-215979
forward	1	3988766	3991312	1	1	gene	cyaA	cyaA 3988766-3991312
forward	1	1034289	1034996	1	1	gene	hyaC	hyaC 1034289-1034996
forward	1	4427442	4428854	1	1	gene	cycA	cycA 4427442-4428854
forward	1	770678	772249	1	1	gene	cydA	cydA 770678-772249
forward	1	772265	773404	1	1	gene	cydB	cydB 772265-773404
forward	1	358713	359183	1	1	gene	cynS	cynS 358713-359183
forward	1	358023	358682	1	1	gene	cynT	cynT 358023-358682
forward	1	359216	360370	1	1	gene	cynX	cynX 359216-360370
forward	1	1331879	1332853	1	1	gene	cysB	cysB 1331879-1332853
forward	1	3495465	3496838	1	1	gene	cysG	cysG 3495465-3496838
forward	1	2530429	2531400	1	1	gene	cysK	cysK 2530429-2531400
forward	1	4434333	4435073	1	1	gene	cysQ	cysQ 4434333-4435073
forward	1	2529483	2530244	1	1	gene	cysZ	cysZ 2529483-2530244
forward	1	879950	881152	1	1	gene	dacC	dacC 879950-881152
forward	1	1236794	1238092	1	1	gene	dadA	dadA 1236794-1238092
forward	1	28374	29195	1	1	gene	dapB	dapB 28374-29195
forward	1	2589627	2590754	1	1	gene	dapE	dapE 2589627-2590754
forward	1	3992372	3993199	1	1	gene	dapF	dapF 3992372-3993199
forward	1	4197859	4198131	1	1	gene	hupA	hupA 4197859-4198131
forward	1	460675	460947	1	1	gene	hupB	hupB 460675-460947
forward	1	1407535	1408908	1	1	gene	dbpA	dbpA 1407535-1408908
forward	1	209679	211820	1	1	gene	ldcC	ldcC 209679-211820
forward	1	1339945	1340682	1	1	gene	pyrF	pyrF 1339945-1340682
forward	1	3607532	3608143	1	1	gene	yhhR	yhhR 3607532-3608143
forward	1	3372504	3373871	1	1	gene	dcuD	dcuD 3372504-3373871
forward	1	4195294	4196358	1	1	gene	hemE	hemE 4195294-4196358
forward	1	2493599	2494585	1	1	gene	lpxP	lpxP 2493599-2494585
forward	1	102233	103153	1	1	gene	ddlB	ddlB 102233-103153
forward	1	3431327	3431836	1	1	gene	def	def 3431327-3431836
forward	1	180884	182308	1	1	gene	htrA	htrA 180884-182308
forward	1	3378378	3379745	1	1	gene	hhoA	hhoA 3378378-3379745
forward	1	3379835	3380902	1	1	gene	hhoB	hhoB 3379835-3380902
forward	1	4617172	4618395	1	1	gene	deoB	deoB 4617172-4618395
forward	1	4614892	4615671	1	1	gene	deoC	deoC 4614892-4615671
forward	1	4618452	4619171	1	1	gene	deoD	deoD 4618452-4619171
forward	1	3810286	3811578	1	1	gene	dfp	dfp 3810286-3811578
forward	1	179237	180754	1	1	gene	dgt	dgt 179237-180754
forward	1	1360767	1362254	1	1	gene	aldH	aldH 1360767-1362254
forward	1	1250280	1252208	1	1	gene	dhaR	dhaR 1250280-1252208
forward	1	1840395	1841738	1	1	gene	gdhA	gdhA 1840395-1841738
forward	1	1165308	1166612	1	1	gene	ndh	ndh 1165308-1166612
forward	1	755130	756896	1	1	gene	sdhA	sdhA 755130-756896
forward	1	756912	757628	1	1	gene	sdhB	sdhB 756912-757628
forward	1	754400	754789	1	1	gene	sdhC	sdhC 754400-754789
forward	1	754783	755130	1	1	gene	sdhD	sdhD 754783-755130
forward	1	1645958	1646365	1	1	gene	dicA	dicA 1645958-1646365
forward	1	1647633	1647821	1	1	gene	dicB	dicB 1647633-1647821
forward	1	3815375	3816211	1	1	gene	dinD	dinD 3815375-3816211
forward	1	4255321	4256700	1	1	gene	dinF	dinF 4255321-4256700
forward	1	832293	834443	1	1	gene	dinG	dinG 832293-834443
forward	1	250898	251953	1	1	gene	dinP	dinP 250898-251953
forward	1	2435970	2436965	1	1	gene	div	div 2435970-2436965
forward	1	57364	58179	1	1	gene	djlA	djlA 57364-58179
forward	1	127912	129336	1	1	gene	lpdA	lpdA 127912-129336
forward	1	2220205	2221920	1	1	gene	dld	dld 2220205-2221920
forward	1	940269	942626	1	1	gene	dmsA	dmsA 940269-942626
forward	1	942637	943254	1	1	gene	dmsB	dmsB 942637-943254
forward	1	943256	944119	1	1	gene	dmsC	dmsC 943256-944119
forward	1	4261893	4263308	1	1	gene	dnaB	dnaB 4261893-4263308
forward	1	14168	15298	1	1	gene	dnaJ	dnaJ 14168-15298
forward	1	12163	14079	1	1	gene	dnaK	dnaK 12163-14079
forward	1	205126	208608	1	1	gene	dnaE	dnaE 205126-208608
forward	1	236067	236798	1	1	gene	dnaQ	dnaQ 236067-236798
forward	1	491316	493247	1	1	gene	dnaX	dnaX 491316-493247
forward	1	3005531	3006727	1	1	gene	ygeX	ygeX 3005531-3006727
forward	1	653085	653765	1	1	gene	criR	criR 653085-653765
forward	1	651458	653116	1	1	gene	dpiB	dpiB 651458-653116
forward	1	4044546	4047332	1	1	gene	polA	polA 4044546-4047332
forward	1	4040999	4041625	1	1	gene	dsbA	dsbA 4040999-4041625
forward	1	2475867	2477204	1	1	gene	dsdX	dsdX 2475867-2477204
forward	1	3811559	3812014	1	1	gene	dut	dut 3811559-3812014
forward	1	193521	194717	1	1	gene	dxr	dxr 193521-194717
forward	1	49823	50302	1	1	gene	folA	folA 49823-50302
forward	1	313581	314468	1	1	gene	eaeH	eaeH 313581-314468
forward	1	3223363	3223812	1	1	gene	ebgC	ebgC 3223363-3223812
forward	1	3219107	3220090	1	1	gene	ebgR	ebgR 3219107-3220090
forward	1	4373895	4374017	1	1	gene	ecnA	ecnA 4373895-4374017
forward	1	4374131	4374274	1	1	gene	ecnB	ecnB 4374131-4374274
forward	1	2301925	2302413	1	1	gene	eco	eco 2301925-2302413
forward	1	4373277	4373843	1	1	gene	efp	efp 4373277-4373843
forward	1	190857	191708	1	1	gene	tsf	tsf 190857-191708
forward	1	1599514	1601049	1	1	gene	ego	ego 1599514-1601049
forward	1	2379610	2380545	1	1	gene	elaC	elaC 2379610-2380545
forward	1	2380733	2381944	1	1	gene	elaD	elaD 2380733-2381944
forward	1	2809448	2810620	1	1	gene	emrA	emrA 2809448-2810620
forward	1	2810637	2812175	1	1	gene	emrB	emrB 2810637-2812175
forward	1	3851543	3852733	1	1	gene	emrD	emrD 3851543-3852733
forward	1	567538	567870	1	1	gene	emrE	emrE 567538-567870
forward	1	3088366	3089073	1	1	gene	endA	endA 3088366-3089073
forward	1	1709547	1710182	1	1	gene	nth	nth 1709547-1710182
forward	1	2248860	2249717	1	1	gene	nfo	nfo 2248860-2249717
forward	1	745158	745949	1	1	gene	nei	nei 745158-745949
forward	1	627774	628520	1	1	gene	entA	entA 627774-628520
forward	1	626917	627774	1	1	gene	entB	entB 626917-627774
forward	1	624108	625283	1	1	gene	entC	entC 624108-625283
forward	1	625293	626903	1	1	gene	entE	entE 625293-626903
forward	1	613380	617261	1	1	gene	entF	entF 613380-617261
forward	1	175107	176528	1	1	gene	eriC	eriC 175107-176528
forward	1	1663279	1664595	1	1	gene	ynfJ	ynfJ 1663279-1664595
forward	1	576621	576836	1	1	gene	essD	essD 576621-576836
forward	1	2481775	2482389	1	1	gene	evgA	evgA 2481775-2482389
forward	1	2482394	2485987	1	1	gene	evgS	evgS 2482394-2485987
forward	1	2080778	2082205	1	1	gene	sbcB	sbcB 2080778-2082205
forward	1	1830452	1831258	1	1	gene	xthA	xthA 1830452-1831258
forward	1	2632252	2633622	1	1	gene	xseA	xseA 2632252-2633622
forward	1	2928987	2929832	1	1	gene	exo	exo 2928987-2929832
forward	1	1924144	1924806	1	1	gene	exoX	exoX 1924144-1924806
forward	1	3244277	3245068	1	1	gene	exuR	exuR 3244277-3245068
forward	1	3242744	3244162	1	1	gene	exuT	exuT 3242744-3244162
forward	1	1148951	1149880	1	1	gene	fabD	fabD 1148951-1149880
forward	1	1151162	1152403	1	1	gene	fabF	fabF 1151162-1152403
forward	1	1149893	1150627	1	1	gene	fabG	fabG 1149893-1150627
forward	1	1147982	1148935	1	1	gene	fabH	fabH 1147982-1148935
forward	1	202101	202556	1	1	gene	fabZ	fabZ 202101-202556
forward	1	3229306	3231324	1	1	gene	ygjL	ygjL 3229306-3231324
forward	1	2459320	2460666	1	1	gene	fadL	fadL 2459320-2460666
forward	1	1234161	1234880	1	1	gene	fadR	fadR 1234161-1234880
forward	1	4083596	4084429	1	1	gene	fdhD	fdhD 4083596-4084429
forward	1	1545425	1548472	1	1	gene	fdnG	fdnG 1545425-1548472
forward	1	1548485	1549369	1	1	gene	fdnH	fdnH 1548485-1549369
forward	1	1549362	1550015	1	1	gene	fdnI	fdnI 1549362-1550015
forward	1	545904	547571	1	1	gene	fdrA	fdrA 545904-547571
forward	1	1445540	1447042	1	1	gene	feaB	feaB 1445540-1447042
forward	1	3537799	3538026	1	1	gene	feoA	feoA 3537799-3538026
forward	1	3538043	3540364	1	1	gene	feoB	feoB 3538043-3540364
forward	1	617477	618610	1	1	gene	fepE	fepE 617477-618610
forward	1	612038	613162	1	1	gene	fes	fes 612038-613162
forward	1	2852361	2854439	1	1	gene	fhlA	fhlA 2852361-2854439
forward	1	167484	169727	1	1	gene	fhuA	fhuA 167484-169727
forward	1	171462	173444	1	1	gene	fhuB	fhuB 171462-173444
forward	1	169778	170575	1	1	gene	fhuC	fhuC 169778-170575
forward	1	170575	171465	1	1	gene	fhuD	fhuD 170575-171465
forward	1	4538525	4539127	1	1	gene	fimB	fimB 4538525-4539127
forward	1	4541872	4542597	1	1	gene	fimC	fimC 4541872-4542597
forward	1	4542665	4545301	1	1	gene	fimD	fimD 4542665-4545301
forward	1	4539605	4540201	1	1	gene	fimE	fimE 4539605-4540201
forward	1	4545311	4545841	1	1	gene	fimF	fimF 4545311-4545841
forward	1	4545854	4546357	1	1	gene	fimG	fimG 4545854-4546357
forward	1	4546377	4547279	1	1	gene	fimH	fimH 4546377-4547279
forward	1	4541188	4541835	1	1	gene	fimI	fimI 4541188-4541835
forward	1	3408908	3409204	1	1	gene	fis	fis 3408908-3409204
forward	1	42367	43173	1	1	gene	fixA	fixA 42367-43173
forward	1	43188	44129	1	1	gene	fixB	fixB 43188-44129
forward	1	44180	45466	1	1	gene	fixC	fixC 44180-45466
forward	1	45463	45750	1	1	gene	fixX	fixX 45463-45750
forward	1	4426354	4427133	1	1	gene	fklB	fklB 4426354-4427133
forward	1	25826	26275	1	1	gene	yaaD	yaaD 25826-26275
forward	1	3037875	3038396	1	1	gene	fldB	fldB 3037875-3038396
forward	1	1130241	1130657	1	1	gene	flgB	flgB 1130241-1130657
forward	1	1130661	1131065	1	1	gene	flgC	flgC 1130661-1131065
forward	1	1131077	1131772	1	1	gene	flgD	flgD 1131077-1131772
forward	1	1131797	1133005	1	1	gene	flgE	flgE 1131797-1133005
forward	1	1133025	1133780	1	1	gene	flgF	flgF 1133025-1133780
forward	1	1133952	1134734	1	1	gene	flgG	flgG 1133952-1134734
forward	1	1134787	1135485	1	1	gene	flgH	flgH 1134787-1135485
forward	1	1135497	1136594	1	1	gene	flgI	flgI 1135497-1136594
forward	1	1136594	1137535	1	1	gene	flgJ	flgJ 1136594-1137535
forward	1	1137601	1139244	1	1	gene	flgK	flgK 1137601-1139244
forward	1	1139256	1140209	1	1	gene	flgL	flgL 1139256-1140209
forward	1	2001895	2003301	1	1	gene	fliD	fliD 2001895-2003301
forward	1	2011251	2012909	1	1	gene	fliF	fliF 2011251-2012909
forward	1	2012902	2013897	1	1	gene	fliG	fliG 2012902-2013897
forward	1	2013869	2014576	1	1	gene	fliH	fliH 2013869-2014576
forward	1	2014576	2015949	1	1	gene	fliI	fliI 2014576-2015949
forward	1	2015968	2016411	1	1	gene	fliJ	fliJ 2015968-2016411
forward	1	2016408	2017535	1	1	gene	fliK	fliK 2016408-2017535
forward	1	2017640	2018104	1	1	gene	fliL	fliL 2017640-2018104
forward	1	2018109	2019113	1	1	gene	fliM	fliM 2018109-2019113
forward	1	2019110	2019523	1	1	gene	fliN	fliN 2019110-2019523
forward	1	2019586	2019891	1	1	gene	fliO	fliO 2019586-2019891
forward	1	2019891	2020628	1	1	gene	fliP	fliP 2019891-2020628
forward	1	2020638	2020907	1	1	gene	fliQ	fliQ 2020638-2020907
forward	1	2020915	2021700	1	1	gene	fliR	fliR 2020915-2021700
forward	1	2003326	2003736	1	1	gene	fliS	fliS 2003326-2003736
forward	1	2003736	2004101	1	1	gene	fliT	fliT 2003736-2004101
forward	1	2830499	2831938	1	1	gene	flrD	flrD 2830499-2831938
forward	1	1644429	1644761	1	1	gene	flxA	flxA 1644429-1644761
forward	1	4540683	4541231	1	1	gene	fimA	fimA 4540683-4541231
forward	1	3431851	3432798	1	1	gene	fmt	fmt 3431851-3432798
forward	1	2611954	2612802	1	1	gene	focB	focB 2611954-2612802
forward	1	2419345	2419707	1	1	gene	folX	folX 2419345-2419707
forward	1	4017813	4019453	1	1	gene	fre	fre 4017813-4019453
forward	1	88028	89032	1	1	gene	fruR	fruR 88028-89032
forward	1	1986739	1987236	1	1	gene	ftn	ftn 1986739-1987236
forward	1	1984948	1985451	1	1	gene	yecI	yecI 1984948-1985451
forward	1	103982	105244	1	1	gene	ftsA	ftsA 103982-105244
forward	1	91413	93179	1	1	gene	ftsI	ftsI 91413-93179
forward	1	932447	936436	1	1	gene	ftsK	ftsK 932447-936436
forward	1	91032	91397	1	1	gene	ftsL	ftsL 91032-91397
forward	1	103155	103985	1	1	gene	ftsQ	ftsQ 103155-103985
forward	1	98403	99647	1	1	gene	ftsW	ftsW 98403-99647
forward	1	105305	106456	1	1	gene	ftsZ	ftsZ 105305-106456
forward	1	2933606	2935381	1	1	gene	fucI	fucI 2933606-2935381
forward	1	2935460	2936908	1	1	gene	fucK	fucK 2935460-2936908
forward	1	2932257	2933573	1	1	gene	fucP	fucP 2932257-2933573
forward	1	2937390	2938121	1	1	gene	fucR	fucR 2937390-2938121
forward	1	2936910	2937332	1	1	gene	fucU	fucU 2936910-2937332
forward	1	4366341	4366718	1	1	gene	fxsA	fxsA 4366341-4366718
forward	1	1860795	1861790	1	1	gene	gapA	gapA 1860795-1861790
forward	1	4231337	4232986	1	1	gene	pgi	pgi 4231337-4232986
forward	1	2789294	2790742	1	1	gene	gabD	gabD 2789294-2790742
forward	1	2792274	2793674	1	1	gene	gabP	gabP 2792274-2793674
forward	1	2790756	2792036	1	1	gene	gabT	gabT 2790756-2792036
forward	1	3086303	3087697	1	1	gene	galP	galP 3086303-3087697
forward	1	2974621	2975652	1	1	gene	galR	galR 2974621-2975652
forward	1	1290680	1291588	1	1	gene	galU	galU 1290680-1291588
forward	1	3272923	3274494	1	1	gene	yhaG	yhaG 3272923-3274494
